year,subject,subject_type,relation,cluster_id,object,object_type,sentence
0,Cosme Pérez,Lugar,nacer en,1,Tudela de Duero (Valladolid),Lugar,"Aunque Cotarelo aventuró que pudo haber nacido en Madrid, hoy sabemos que Cosme Pérez nació en Tudela de Duero (Valladolid), en cuya iglesia parroquial Cosme Pérez fue bautizado el 7 de abril de 1593."
0,Cosme Pérez,Lugar,nacer en,1,Damián Pérez,Lugar,"Cosme Pérez fue hijo de Damián Pérez e Isabel de Basto, su segunda esposa, y fue el cuarto de una familia de cuatro hermanos."
0,Cosme Pérez,Lugar,nacer en,1,Isabel de Basto,Lugar,"Cosme Pérez fue hijo de Damián Pérez e Isabel de Basto, su segunda esposa, y fue el cuarto de una familia de cuatro hermanos."
0,cuando Juan Rana,Persona,representar,2,la representación de la comedia de Lope de Vega Lo que ha de ser,Persona,"Según F. Sáez Raposo, la primera aparición escénica del personaje ""Juan Rana"" habría tenido lugar hacia 1624, cuando Juan Rana participó en la representación de la comedia de Lope de Vega Lo que ha de ser."
0,el entremés se,Persona,representar,2,el Retiro durante la fiesta de San Juan de ese año,Persona,"Por su parte, según M. L. Lobato, el entremés se representó en el Retiro durante la fiesta de San Juan de ese año."
0,"se hizo en el Palacio de la Zarzuela con motivo de una ""Fiesta que se",Persona,representar,2,"un día de mucho frío, según se indica en el primer verso del entremés",Persona,"Según apunta M. L. Lobato, Antonio de Solís contó también con el actor Juan Rana para el entremés titulado La Zarzuela, el cual, según el manuscrito que se conserva de la obra, se hizo en el Palacio de la Zarzuela con motivo de una ""Fiesta que se representó a Su Majestad"" en un día de mucho frío, según se indica en el primer verso del entremés."
0,La pieza se,Persona,representar,2,palacio y M,Persona,"La pieza se representó en palacio y M. L. Lobato deduce, a partir del hecho de que en las alabanzas finales se omite cualquier referencia al príncipe Felipe Próspero, que el entremés El ayo de Agustín Moreto fue anterior a su nacimiento, que tuvo lugar en noviembre de 1657."
0,Juan Rana también,Persona,representar,2,"el entremés El ayo de Agustín Moreto, representado con motivo del cumpleaños del rey Felipe IV, quizá, como propone la citada investigadora, en el año 1662, en el que actuaron también Mateo de Godoy y Jerónimo Morales",Persona,"Según indica M. L. Lobato, Juan Rana también actuó en el entremés El ayo de Agustín Moreto, representado con motivo del cumpleaños del rey Felipe IV, quizá, como propone la citada investigadora, en el año 1662, en el que actuaron también Mateo de Godoy y Jerónimo Morales."
0,esta loa se,Persona,representar,2,"muerte de Bernarda Ramírez, mujer de Sebastián de Prado, se había producido el 24 de octubre de 1662 y se sabe por un testimonio del 17 de diciembre de 1662 que Sebastián de Prado estaba encarcelado y por ello no podría participar en la fiesta palaciega que había de tener lugar cinco días después",Persona,"Según Cotarelo, esta loa se representó ante los Reyes el 22 de diciembre de 1662, dado que la muerte de Bernarda Ramírez, mujer de Sebastián de Prado, se había producido el 24 de octubre de 1662 y se sabe por un testimonio del 17 de diciembre de 1662 que Sebastián de Prado estaba encarcelado y por ello no podría participar en la fiesta palaciega que había de tener lugar cinco días después."
0,sugiere que el entremés se,Persona,representar,2,"los últimos versos se hace mención del objeto de la fiesta, que era festejar el nombre de Ana",Persona,"M. L. Lobato, sin embargo, sugiere que el entremés se representó ""un 26 de julio"", festividad de Santa Ana, pues en los últimos versos se hace mención del objeto de la fiesta, que era festejar el nombre de Ana."
